Location,Variant,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Gross Domestic Product (GDP),3520.57421576991,3856.78538884718,4466.44042966916,6361.8359115147,7484.5428823965,7885.93894040843,8398.5810855072,8229.0671386252,9496.17802977313,10394.1392903775,11841.823798699,13619.5649270563,12772.6292706659,12622.0660026796,13337.7892323764,11584.0126158508,11988.473273845,14026.6800672987,17468.0470749588,19058.1055249708,19001.5694603732,19082.0592498934,18647.3906494372,17940.9090874676,20275.5384901617,21635.2225820899,23782.5066214342,23634.6236029762,20860.6098535794,22602.4102896636,21431.0579439846,20237.5810653415,22335.6440241442,28323.5277838121,33966.9864196778,37571.0356531747,39718.0543654096,46967.8917303739,49453.668638812,46606.148893822,58646.2503822756,68681.539576456,69591.061175895,66544.6709553746,62261.2720831297,52387.5527935659,54067.3218677004,57613.226226676
Austria,Gross Domestic Product (GDP),2045.31243693715,2365.29078006299,2909.8851655828,3879.91437025072,4614.08401140897,5244.83632218209,5622.36836517884,6750.08893165209,8134.8211355812,9706.21097485507,10782.9168430479,9340.67376221578,9375.30361684257,9485.39902138485,8936.76107109979,9112.22729070639,12987.6116710685,16254.3886582589,17409.093729281,17316.4858682402,21552.1640980855,22358.9818734148,24910.413057556,24121.6182959739,25612.2541477534,30169.0606406716,29592.0226241979,26489.4250514757,27142.5535851485,26975.0873053361,24388.7590147216,24369.2583818823,26232.6862259422,32007.1458534928,36622.1783732023,38282.0400328891,40554.2658673786,46761.506620516,51605.5228778572,47807.2134762794,46598.7066681011,50960.6667540778,48068.4387285241,50137.5195792884,51197.1352214478,43993.6359620742,45230.3284817247,47717.7286469509
Azerbaijan,Gross Domestic Product (GDP),901.472060212416,910.456509719689,709.768805127193,550.704206272612,445.888165211695,396.240348537158,404.370575782189,499.937266587532,556.501832516718,568.804487446846,649.117975821853,696.282052443071,753.417207031917,870.242873092103,1027.40340764277,1551.23938038997,2431.22310650209,3788.20210946854,5537.50037131595,4963.06464022069,5857.32086836552,7210.80593192552,7520.83515803856,7901.78346149993,7916.82980248623,5518.72451823197,3893.62910213285,4146.37428171431
Bahamas,Gross Domestic Product (GDP),4283.47415213426,4442.103931097,4475.33116470516,4979.06817021127,5216.50845204766,6028.26779226518,6428.0534221521,7523.12299913699,8459.44169708499,9785.09001036752,9577.44328574152,10743.2248988563,10582.0711353125,10158.9422181905,10779.0703825101,12270.7838184475,13511.577244272,14741.6866425904,16167.5600919303,18142.4028802973,18425.6420011235,17776.6816242589,17430.2843717826,17011.6871757048,17622.1503071821,18263.5208495449,20465.6024983262,21860.977401819,24248.0263704061,26173.915472184,27112.3474201887,27439.3977501773,28727.1076766821,28092.4766236152,28076.2209713325,29874.6595069385,30275.0069261233,31018.0460990629,30188.4848570019,28129.6196344433,27979.1397714172,27472.2599872329,28815.5188730214,28303.3660719966,28374.2352990431,29055.9699667561,28785.5205070137,29824.6691504726
Bahrain,Gross Domestic Product (GDP),1984.91828304958,2065.18695196452,2511.75155778537,3424.5539240523,4458.54167807858,4443.9734608136,6007.39434361832,7071.44172544838,7569.66495279608,8517.68465512377,10459.6704583251,11358.6428083825,11575.4033599568,11544.9245766984,11752.5056402108,10669.2958681006,8628.79984611499,8464.64312572272,8970.79828945504,9308.61550322561,9898.81714305915,10195.9875180282,10384.9078398699,11089.7951031583,11663.4769675907,12040.0579237817,12198.7792021473,12296.2805924598,11402.7215787983,11911.8793308209,13636.3467237966,12868.2110694702,13049.7656341077,14221.9926788725,15846.4765567424,17959.1784745414,19307.6881247383,20977.1225288285,23067.5624282605,19356.6742567194,20722.1131058619,22512.1703335576,23649.3850907767,24737.1791001751,24983.356043518,22688.921678265,22613.7560711826,23667.6192931185
Bangladesh,Gross Domestic Product (GDP),95.2496089333348,83.9720852401565,91.9469366632779,98.580822690197,115.732946062445,118.865359764013,129.416905184869,132.791744863285,165.524088881022,186.254743915451,205.340090765863,202.670224575454,179.555053559467,178.411190102545,203.609860204908,205.676768663565,211.189623161249,233.613050313537,245.750963420841,260.181000702448,264.967805033515,276.532994902525,275.939670856265,278.686402612451,289.844089951523,318.987683053333,328.161121450428,332.400568578987,337.502627228074,346.882295856778,345.562825117929,338.780742110965,345.494326098115,371.82282268202,395.944778736875,401.782438251642,481.341271504699,542.519447740046,615.882791391658,678.785648207857,752.602520771692,802.447891340442,827.725853614621,974.193540577232,1085.67025375287,1206.35801632428,1352.03266574645,1491.67340954649
Barbados,Gross Domestic Product (GDP),903.788067691863,1010.86791678645,1149.67567537762,1393.86677561853,1656.01771816722,1934.74853254178,2087.91756316581,2362.19911449289,2630.72596707621,3175.16457518005,4058.48756116323,4451.16117038091,4636.80329221836,4909.60662114271,5337.21661056534,5569.48928002063,6095.7961446778,6689.71777408573,7090.40532516913,7812.44686423236,7814.7203637844,7725.38513060951,7440.95749549934,7821.49766808951,8194.42077154707,8585.29055438766,9120.40971339615,9603.85098053906,10788.2067549916,11263.8608964681,11567.6661219135,11513.9368638824,11675.3475419739,12028.4803385024,12868.7873273012,14223.2554405147,14393.4132977505,16392.3592250588,16737.764091173,15608.8627141164,15612.7825331135,15981.9458947046,16091.4111192002,15755.4272607244,15573.8659420929,15703.8460049891,16042.714338096,16494.1718524144
Belarus,Gross Domestic Product (GDP),1909.97944245483,1944.32549806027,1798.0318877615,1704.87732632822,1541.84524877596,1412.34840231699,1482.92026819254,1446.88681741848,1568.51901076103,1256.54865679955,1084.21693006666,1293.70879026613,1538.53528981393,1892.0227562094,2472.31857953379,3246.0472950219,3990.80111070101,4908.03305395197,6606.18401121614,5362.84086500545,6041.53667652537,6522.92787149072,6934.94311263582,7967.96236921082,8309.36095192897,5951.52163258492,5034.10737200153,5749.81470435261
Belgium,Gross Domestic Product (GDP),2787.51534401926,3102.6093316398,3859.42690067868,4937.80826036315,5779.6160878983,6757.13237297309,7299.27362014716,8483.66786777358,10348.127073484,11866.7626804402,12920.4008914454,10656.1896948349,9361.70625784579,8855.37813702524,8458.61385436637,8745.71388733602,12153.0976069667,15106.7893425318,16384.5886318556,16542.8099291221,20629.3721003782,21080.3052320771,23421.9388500724,22326.8386910743,24242.5481454934,28427.4894736281,27561.2049276775,24923.2715396651,25455.5597670406,25372.0924738776,23137.9083484778,23048.6871241705,24975.8884641957,30616.1378997082,35390.9354448712,36727.0601012078,38588.4099857319,44102.0907223271,48115.4824184538,44614.2419208755,44205.0981559308,47852.9448917192,44921.0060466969,46713.4384066428,47312.663712118,40382.7233749779,41356.140321969,43288.9147620453
Belize,Gross Domestic Product (GDP),206.342819459157,256.063788129216,326.707032363356,522.5105483596,686.380709915919,783.597888113563,609.05663211197,772.324785201732,869.643435397402,999.256926506493,1350.62953071347,1307.21168832929,1183.16831683168,1212.92243713981,1315.27250275964,1268.48612365921,1344.00358558219,1586.16337769619,1758.9427352146,1979.35346025759,2161.80046067224,2263.68992183167,2408.43570042765,2684.39802445146,2738.33017642334,2834.25056652638,3001.27295531552,2952.98863749176,2991.52351010057,3063.89263092718,3364.42376928209,3419.27576240078,3556.56190361777,3679.90948240627,3831.53797145124,3933.34086424242,4187.38628429528,4324.88178896608,4470.22030604413,4258.78144421191,4344.15499614437,4516.24735716542,4673.79069263234,4685.2499121102,4844.98171706085,4950.25578366102,4960.18165764646,5076.98884117423
