,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
184,795,Asia,Zero-migration,Turkmenistan,2.785,2.6136,2.4716,2.3541,2.2535,2.1661,2.0904,2.0282,1.9781,1.9372,1.9044,1.881,1.8636,1.8504,1.8406,1.8332,1.8297
185,800,Africa,Zero-migration,Uganda,5.4559,5.0225,4.6158,4.2413,3.9054,3.6121,3.356,3.1381,2.9538,2.7969,2.6623,2.5442,2.4381,2.3439,2.2591,2.1832,2.1137
186,804,Europe,Zero-migration,Ukraine,1.5572,1.61,1.6524,1.6865,1.7144,1.7367,1.755,1.7688,1.7808,1.7906,1.7975,1.8043,1.8096,1.8144,1.8169,1.8198,1.825
187,784,Asia,Zero-migration,United Arab Emirates,1.725,1.6536,1.6123,1.5955,1.5956,1.608,1.6259,1.6463,1.665,1.6838,1.6995,1.7172,1.7294,1.7427,1.7531,1.7621,1.7705
188,826,Europe,Zero-migration,United Kingdom,1.8708,1.8657,1.8624,1.8597,1.8591,1.8585,1.8576,1.8579,1.858,1.858,1.8586,1.8579,1.8574,1.858,1.8581,1.8574,1.8574
189,840,Americas,Zero-migration,United States of America,1.8864,1.8932,1.8986,1.9031,1.9062,1.9104,1.9119,1.9143,1.9159,1.9168,1.9182,1.9187,1.9207,1.9204,1.9204,1.9211,1.9192
190,858,Americas,Zero-migration,Uruguay,1.9786,1.9339,1.8979,1.8669,1.8432,1.8267,1.8152,1.8061,1.8011,1.7999,1.8003,1.8003,1.8031,1.8051,1.8051,1.8093,1.8106
191,860,Asia,Zero-migration,Uzbekistan,2.2444,2.1309,2.0391,1.9652,1.9047,1.8614,1.8264,1.8041,1.7896,1.7819,1.7761,1.7744,1.7768,1.7798,1.7824,1.7853,1.7892
192,548,Oceania,Zero-migration,Vanuatu,3.2218,3.055,2.9078,2.7802,2.6648,2.5616,2.4679,2.3816,2.3028,2.2272,2.1614,2.0981,2.0425,1.995,1.9571,1.9242,1.8978
193,862,Americas,Zero-migration,Venezuela (Bolivarian Republic of),2.283,2.174,2.0813,1.9988,1.933,1.884,1.8443,1.8179,1.7993,1.7883,1.7823,1.7794,1.7787,1.7803,1.7811,1.7841,1.7882
194,704,Asia,Zero-migration,Viet Nam,1.946,1.9335,1.9228,1.9158,1.9105,1.9064,1.9028,1.9003,1.8981,1.8967,1.8957,1.895,1.8934,1.8932,1.8929,1.8927,1.8916
195,850,Americas,Zero-migration,United States Virgin Islands,2.1866,2.0873,2.011,1.9532,1.9083,1.8775,1.8546,1.8401,1.83,1.8242,1.8203,1.8202,1.82,1.8197,1.8198,1.822,1.8237
196,732,Africa,Zero-migration,Western Sahara,2.4149,2.2619,2.1363,2.032,1.9455,1.8811,1.8317,1.7993,1.7759,1.7643,1.7594,1.7575,1.76,1.7632,1.7683,1.7726,1.7782
197,887,Asia,Zero-migration,Yemen,3.8372,3.4074,3.0663,2.7916,2.5581,2.3569,2.1853,2.0337,1.9111,1.8178,1.7482,1.7026,1.6786,1.6708,1.6744,1.6842,1.696
198,894,Africa,Zero-migration,Zambia,4.9005,4.6254,4.3711,4.1385,3.9256,3.7335,3.5604,3.409,3.2635,3.137,3.0214,2.9162,2.8204,2.7299,2.6451,2.5648,2.4872
199,716,Africa,Zero-migration,Zimbabwe,3.6255,3.3222,3.0737,2.8714,2.6956,2.5434,2.4105,2.2918,2.1904,2.098,2.0254,1.9684,1.9217,1.8895,1.8637,1.8464,1.8331
