,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
86,376,Asia,Low variant,Israel,2.6702,2.4077,2.2053,2.1137,2.0277,1.9485,1.8674,1.7974,1.7295,1.6657,1.6111,1.5622,1.5232,1.4893,1.4604,1.4365,1.4158
87,380,Europe,Low variant,Italy,1.2413,1.1423,1.0846,1.1203,1.1498,1.1737,1.1941,1.2112,1.2258,1.2388,1.2487,1.2577,1.2658,1.2711,1.2769,1.2812,1.2857
88,388,Americas,Low variant,Jamaica,1.741,1.5165,1.3622,1.3218,1.2939,1.2773,1.2666,1.2629,1.2624,1.2631,1.2671,1.2713,1.2777,1.2826,1.286,1.2907,1.2954
89,392,Asia,Low variant,Japan,1.2276,1.1347,1.0809,1.1192,1.1508,1.1755,1.1964,1.2145,1.2291,1.2431,1.2534,1.2604,1.2697,1.2763,1.2818,1.2874,1.2909
90,400,Asia,Low variant,Jordan,3.0145,2.5992,2.2835,2.1048,1.9533,1.8211,1.7087,1.608,1.5276,1.4597,1.4094,1.3717,1.3441,1.3246,1.3125,1.3048,1.301
91,398,Asia,Low variant,Kazakhstan,2.3209,2.0581,1.8591,1.7751,1.702,1.6404,1.5863,1.5399,1.5002,1.4685,1.4413,1.4184,1.3993,1.3856,1.3752,1.3641,1.3555
92,404,Africa,Low variant,Kenya,3.5237,3.0949,2.7618,2.564,2.3926,2.2416,2.1118,1.9917,1.883,1.7867,1.6999,1.6176,1.5472,1.4911,1.4432,1.4059,1.3766
93,296,Oceania,Low variant,Kiribati,3.3336,2.9999,2.7381,2.5948,2.4665,2.3529,2.2527,2.1583,2.0691,1.9886,1.9104,1.834,1.7667,1.7024,1.6408,1.5873,1.5413
94,408,Asia,Low variant,Dem. People's Republic of Korea,1.6434,1.4565,1.3294,1.307,1.2917,1.2817,1.2772,1.2761,1.2756,1.2762,1.281,1.2848,1.2885,1.292,1.2957,1.2996,1.3026
95,410,Asia,Low variant,Republic of Korea,1.0726,0.9986,0.9633,1.0196,1.0651,1.103,1.1345,1.1628,1.1856,1.2044,1.2217,1.2348,1.247,1.257,1.265,1.2728,1.278
96,414,Asia,Low variant,Kuwait,1.7166,1.5132,1.3793,1.3542,1.3366,1.3264,1.321,1.3179,1.3156,1.3159,1.317,1.3192,1.3211,1.3234,1.3255,1.3275,1.3288
97,417,Asia,Low variant,Kyrgyzstan,2.6587,2.3438,2.1088,1.9974,1.901,1.8153,1.7384,1.6696,1.6103,1.5583,1.5143,1.4779,1.4481,1.4238,1.4053,1.3895,1.3757
98,418,Asia,Low variant,Lao People's Democratic Republic,2.3727,1.9942,1.7194,1.5778,1.465,1.3771,1.313,1.2704,1.2441,1.2334,1.2318,1.2339,1.2391,1.2466,1.2544,1.2613,1.2687
99,428,Europe,Low variant,Latvia,1.3202,1.2253,1.1689,1.2031,1.2287,1.2502,1.2674,1.2815,1.2929,1.3009,1.3085,1.3131,1.3186,1.3227,1.325,1.328,1.3298
