,Country Code,region,Variant,Location,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
149,643,Europe,Estimates,Russian Federation,2.85,2.82,2.55,2.02,2.03,1.94,2.04,2.121,1.545,1.247,1.298,1.4389,1.6977
150,646,Africa,Estimates,Rwanda,8.0,8.15,8.2,8.2,8.284,8.432,8.375,7.8,6.554,5.9,5.4,4.85,4.2
151,662,Americas,Estimates,Saint Lucia,6.0,6.938,6.794,6.479,5.691,5.2,4.2,3.65,3.15,2.6,1.85,1.6,1.5073
152,670,Americas,Estimates,Saint Vincent and the Grenadines,7.33,7.33,7.02,6.41,5.54,4.42,3.64,3.1,2.85,2.55,2.237,2.132,2.0084
153,882,Oceania,Estimates,Samoa,7.6297,7.6297,7.6291,7.3526,6.9977,6.4889,5.9103,5.3533,4.9223,4.6203,4.4359,4.4675,4.1643
154,678,Africa,Estimates,Sao Tome and Principe,6.2,6.2,6.3,6.4,6.5155,6.495,6.2372,5.9594,5.6823,5.4106,5.1486,4.9,4.6677
155,682,Asia,Estimates,Saudi Arabia,7.175,7.175,7.257,7.257,7.298,7.278,7.015,6.217,5.55,4.4,3.65,3.225,2.725
156,686,Africa,Estimates,Senegal,6.8,6.9,7.1,7.25,7.3,7.275,7.275,6.775,6.275,5.725,5.275,5.1,5.0
157,688,Europe,Estimates,Serbia,3.22,2.57,2.51,2.43,2.36,2.37,2.32,2.23,1.96,1.8312,1.7084,1.5835,1.5915
158,690,Africa,Estimates,Seychelles,5.0,5.0,5.59,5.92,5.3819,4.2696,3.5077,2.9377,2.5734,2.178,2.2,2.3,2.38
159,694,Africa,Estimates,Sierra Leone,6.0297,6.0297,6.25,6.4135,6.565,6.6458,6.7219,6.7219,6.6858,6.4779,6.1074,5.5651,4.8418
160,702,Asia,Estimates,Singapore,6.61,6.335,5.12,3.645,2.815,1.84,1.694,1.6974,1.7307,1.5705,1.3481,1.2571,1.233
161,703,Europe,Estimates,Slovakia,3.5022,3.2427,2.911,2.541,2.5067,2.464,2.271,2.1537,1.8667,1.401,1.2205,1.317,1.39
162,705,Europe,Estimates,Slovenia,2.68,2.3833,2.3354,2.265,2.1999,2.1632,1.928,1.6517,1.3335,1.2483,1.2114,1.435,1.575
163,90,Oceania,Estimates,Solomon Islands,6.4,6.4,6.4,6.539,7.236,7.041,6.431,6.125,5.532,4.905,4.6,4.4,4.0577
164,706,Africa,Estimates,Somalia,7.25,7.25,7.25,7.25,7.1,7.0,7.071,7.258,7.531,7.698,7.465,7.102,6.6098
165,710,Africa,Estimates,South Africa,6.05,6.05,6.0,5.8,5.5,5.05,4.6,4.0,3.34,2.95,2.75,2.625,2.55
166,728,Africa,Estimates,South Sudan,6.65,6.7,6.75,6.85,6.9,6.92,6.783,6.83,6.65,6.42,6.0,5.6,5.15
167,724,Europe,Estimates,Spain,2.53,2.7,2.81,2.84,2.85,2.55,1.88,1.46,1.28,1.19,1.29,1.3944,1.3291
168,144,Asia,Estimates,Sri Lanka,5.8,5.8,5.2,4.7,4.0,3.6064,3.1894,2.644,2.3839,2.2431,2.262,2.279,2.1113
169,729,Africa,Estimates,Sudan,6.65,6.65,6.75,6.861,6.9,6.92,6.63,6.3,6.0,5.65,5.3,5.0,4.75
170,740,Americas,Estimates,Suriname,6.56,6.56,6.56,5.945,5.289,4.203,3.7,3.364,3.1891,2.9633,2.7657,2.5891,2.4598
171,752,Europe,Estimates,Sweden,2.2372,2.247,2.3104,2.1701,1.9059,1.6646,1.6435,1.9087,2.006,1.5589,1.6703,1.8905,1.902
172,756,Europe,Estimates,Switzerland,2.3101,2.3912,2.5972,2.3551,1.8714,1.5388,1.539,1.547,1.539,1.484,1.4079,1.4692,1.5258
173,760,Asia,Estimates,Syrian Arab Republic,7.227,7.3755,7.5385,7.5598,7.5426,7.3164,6.767,5.873,4.8041,4.3,3.8,3.35,3.1
174,158,Asia,Estimates,"China, Taiwan Province of China",6.72,6.1383,5.3458,4.3842,3.3308,2.7417,2.2325,1.7675,1.7583,1.6675,1.325,1.0508,1.1058
175,762,Asia,Estimates,Tajikistan,5.4,6.199,6.8,7.0,6.834,5.897,5.6,5.5,4.877,4.29,3.6,3.5,3.5
176,834,Africa,Estimates,United Republic of Tanzania,6.74,6.801,6.8,6.79,6.75,6.73,6.55,6.36,6.05,5.75,5.66,5.579,5.2395
177,764,Asia,Estimates,Thailand,6.1378,6.1378,6.1297,5.985,5.052,3.915,2.945,2.3,1.9921,1.7668,1.6026,1.5563,1.5346
178,626,Asia,Estimates,Timor-Leste,6.441,6.353,6.371,6.156,5.535,4.305,5.39,5.209,5.685,7.005,6.955,6.53,5.9124
179,768,Africa,Estimates,Togo,6.3344,6.4217,6.6518,6.937,7.1986,7.2768,7.0567,6.6222,6.0195,5.5448,5.3064,5.0358,4.6895
180,776,Oceania,Estimates,Tonga,7.3,7.3,7.3,6.5,5.5,5.5,5.5,4.7363,4.615,4.2912,4.2278,4.0342,3.7886
181,780,Americas,Estimates,Trinidad and Tobago,5.3,5.3,5.04,3.81,3.45,3.24,3.28,2.75,2.18,1.82,1.75,1.8,1.7959
182,788,Africa,Estimates,Tunisia,6.65,6.85,6.99,6.92,6.385,5.65,4.82,4.0019,2.98,2.3435,2.04,2.0239,2.2521
183,792,Asia,Estimates,Turkey,6.6859,6.4959,6.2022,5.7996,5.3931,4.6948,4.1106,3.3874,2.8982,2.6477,2.3735,2.2018,2.121
184,795,Asia,Estimates,Turkmenistan,5.3,6.2,6.8,6.56,6.187,5.6,4.79,4.55,4.03,3.03,2.755,2.65,3.0
185,800,Africa,Estimates,Uganda,6.9,6.95,7.05,7.12,7.1,7.1,7.1,7.1,7.063,6.946,6.745,6.38,5.9126
186,804,Europe,Estimates,Ukraine,2.81,2.7,2.1346,2.0204,2.0789,1.9798,2.004,1.95,1.6208,1.2404,1.1455,1.3828,1.4889
187,784,Asia,Estimates,United Arab Emirates,6.97,6.97,6.87,6.77,6.45,5.75,5.3,4.9,3.925,2.97,2.4,1.97,1.82
188,826,Europe,Estimates,United Kingdom,2.18,2.49,2.81,2.57,2.01,1.73,1.775,1.835,1.775,1.735,1.655,1.8738,1.8781
189,840,Americas,Estimates,United States of America,3.311,3.5821,3.2336,2.5434,2.0294,1.7718,1.8044,1.9146,2.0297,1.9965,2.042,2.05,1.8765
190,858,Americas,Estimates,Uruguay,2.73,2.83,2.9,2.8,3.0,2.89,2.57,2.53,2.49,2.3,2.2,2.12,2.04
191,860,Asia,Estimates,Uzbekistan,5.3,5.9,6.5,6.4,6.1561,5.4649,4.8,4.4001,3.95,3.1,2.5126,2.49,2.38
192,548,Oceania,Estimates,Vanuatu,7.6,7.35,7.0,6.46,6.11,5.75,5.4,5.04,4.83,4.59,4.11,3.63,3.4113
193,862,Americas,Estimates,Venezuela (Bolivarian Republic of),6.4585,6.4585,6.657,5.9045,4.941,4.4685,3.957,3.6485,3.25,2.9415,2.723,2.547,2.4047
194,704,Asia,Estimates,Viet Nam,5.3986,6.1636,6.4182,6.4649,6.3285,5.4993,4.6002,3.8497,3.2272,2.2493,1.9206,1.9279,1.9624
195,850,Americas,Estimates,United States Virgin Islands,5.2509,5.4926,5.6723,5.5225,4.6577,3.4884,2.9711,3.0216,2.7945,2.1936,2.1397,2.4359,2.3
196,732,Africa,Estimates,Western Sahara,6.342,6.424,6.534,6.6,6.5732,6.234,5.3321,4.6,4.0,3.4,2.85,2.55,2.6
197,887,Asia,Estimates,Yemen,7.35,7.4,7.6,7.8,7.9,8.6,8.8,8.8,8.2,6.8,5.9,5.0,4.4
198,894,Africa,Estimates,Zambia,6.7,6.95,7.25,7.3,7.4,7.25,6.9,6.6,6.3,6.1,5.95,5.6,5.2
199,716,Africa,Estimates,Zimbabwe,6.8,7.0,7.3,7.4,7.4,7.3,6.74,5.656,4.773,4.2,4.0,4.0,4.0
