,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
142,608,Asia,High variant,Philippines,3.1323,3.1357,3.1046,2.9929,2.8897,2.7956,2.7129,2.637,2.5655,2.5069,2.4579,2.4194,2.3878,2.3624,2.344,2.3304,2.3198
143,616,Europe,High variant,Poland,1.5397,1.6965,1.8564,1.9139,1.9683,2.0154,2.0589,2.0951,2.1285,2.1546,2.1778,2.1981,2.2148,2.2306,2.2419,2.2524,2.2612
144,620,Europe,High variant,Portugal,1.4908,1.6482,1.8124,1.8759,1.9343,1.9875,2.0362,2.0766,2.1131,2.1418,2.1684,2.1897,2.2083,2.223,2.236,2.2479,2.2571
145,630,Americas,High variant,Puerto Rico,1.7195,1.8541,1.9799,2.013,2.0459,2.0789,2.1078,2.1349,2.1583,2.1792,2.1983,2.2153,2.2271,2.2402,2.2517,2.2612,2.2692
146,634,Asia,High variant,Qatar,2.1305,2.1816,2.2071,2.1577,2.1289,2.1201,2.1208,2.134,2.1488,2.1645,2.1831,2.1988,2.2152,2.2286,2.24,2.2511,2.2602
147,638,Africa,High variant,Réunion,2.5235,2.5613,2.5741,2.5057,2.4556,2.4183,2.3923,2.3731,2.3607,2.3507,2.3455,2.342,2.3395,2.3385,2.338,2.3377,2.3396
148,642,Europe,High variant,Romania,1.7898,1.9841,2.1204,2.1503,2.1774,2.1986,2.2155,2.2307,2.2416,2.2522,2.2603,2.2683,2.2742,2.2803,2.2839,2.2886,2.292
149,643,Europe,High variant,Russian Federation,2.0011,2.1895,2.3168,2.3367,2.3531,2.3653,2.3744,2.3805,2.3859,2.3894,2.3931,2.3959,2.3975,2.4006,2.4013,2.4008,2.4023
150,646,Africa,High variant,Rwanda,4.0313,3.8394,3.6548,3.4183,3.2121,3.0308,2.8708,2.7309,2.609,2.5019,2.4192,2.3532,2.3067,2.2746,2.2549,2.2433,2.2405
151,662,Americas,High variant,Saint Lucia,1.6942,1.8108,1.9189,1.9489,1.9857,2.0257,2.0617,2.0961,2.1283,2.1551,2.1779,2.1971,2.2145,2.2284,2.2413,2.2525,2.2621
152,670,Americas,High variant,Saint Vincent and the Grenadines,2.1519,2.2122,2.2506,2.2114,2.1905,2.1845,2.1871,2.1957,2.2038,2.2147,2.2253,2.2365,2.2462,2.2545,2.2636,2.2724,2.2801
